Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area
Himachal Pradesh, 01-07-2020,Monthly,14.43,11993309,46.59,Urban
Himachal Pradesh, 01-08-2020,Monthly,16.02,11394295,45.5,Urban
Himachal Pradesh, 01-09-2020,Monthly,9.3,11965463,46.52,Urban
Himachal Pradesh, 01-10-2020,Monthly,10.94,11547686,48.3,Urban
Jammu & Kashmir, 01-01-2019,Monthly,6.32,9386423,46.54,Rural
Jammu & Kashmir, 01-02-2019,Monthly,7.54,9259227,44.98,Rural
Jammu & Kashmir, 01-03-2019,Monthly,7.67,9287202,48.05,Rural
Jammu & Kashmir, 01-04-2019,Monthly,7.41,9356514,46.47,Rural
Jammu & Kashmir, 01-05-2019,Monthly,6.71,9399947,48.03,Rural
Jammu & Kashmir, 01-06-2019,Monthly,6.47,9437585,45.06,Rural
Jammu & Kashmir, 01-07-2019,Monthly,6.35,9418225,43.79,Rural
Jammu & Kashmir, 01-08-2019,Monthly,8.18,9094018,46.67,Rural
Jammu & Kashmir, 01-09-2019,Monthly,7.65,9186464,43.28,Rural
Jammu & Kashmir, 01-10-2019,Monthly,6.68,9240139,43.32,Rural
Jammu & Kashmir, 01-11-2019,Monthly,7.12,9417792,48.45,Rural
Jammu & Kashmir, 01-12-2019,Monthly,6.28,9126976,46.12,Rural
Jammu & Kashmir, 01-01-2020,Monthly,6.9,9565178,48.85,Rural
Jammu & Kashmir, 01-02-2020,Monthly,7.68,9397850,47.93,Rural
Jammu & Kashmir, 01-03-2020,Monthly,6.56,9443282,44.95,Rural
Jammu & Kashmir, 01-04-2020,Monthly,33.05,8171058,43.03,Rural
Jammu & Kashmir, 01-05-2020,Monthly,22.72,8385144,43.19,Rural
Jammu & Kashmir, 01-06-2020,Monthly,18.1,8943127,44.19,Rural
Jammu & Kashmir, 01-07-2020,Monthly,12.98,8955381,46.21,Rural
Jammu & Kashmir, 01-08-2020,Monthly,13.35,9192485,44.58,Rural
Jammu & Kashmir, 01-09-2020,Monthly,9.07,9171128,46.73,Rural
Jammu & Kashmir, 01-10-2020,Monthly,9.72,9310369,49.48,Rural
Jammu & Kashmir, 01-01-2019,Monthly,8.56,14158524,38.67,Urban
Jammu & Kashmir, 01-02-2019,Monthly,9.11,14275919,39.35,Urban
Jammu & Kashmir, 01-03-2019,Monthly,9.27,14135063,38.04,Urban
Jammu & Kashmir, 01-04-2019,Monthly,8.44,13620213,35.64,Urban
Jammu & Kashmir, 01-05-2019,Monthly,10.18,13454596,38.26,Urban
Jammu & Kashmir, 01-06-2019,Monthly,8.78,13966573,39.81,Urban
Jammu & Kashmir, 01-07-2019,Monthly,9.46,13660058,38.34,Urban
Jammu & Kashmir, 01-08-2019,Monthly,9.12,13782825,,Urban
Jammu & Kashmir, 01-09-2019,Monthly,9.24,14044152,39.58,Urban
Jammu & Kashmir, 01-10-2019,Monthly,9.65,13854703,36.64,Urban
Jammu & Kashmir, 01-11-2019,Monthly,9.19,13665175,37.79,Urban
Jammu & Kashmir, 01-12-2019,Monthly,9.3,14178345,38.62,Urban
Jammu & Kashmir, 01-01-2020,Monthly,9.13,14321861,38.95,Urban
Jammu & Kashmir, 01-02-2020,Monthly,10.51,13884665,35.95,Urban
Jammu & Kashmir, 01-03-2020,Monthly,9.4,13932292,40.52,Urban
Jammu & Kashmir, 01-04-2020,Monthly,26.75,12239587,35.95,Urban
Jammu & Kashmir, 01-05-2020,Monthly,27.52,12025431,34.91,Urban
Jammu & Kashmir, 01-06-2020,Monthly,21.74,12925231,38.89,Urban
Jammu & Kashmir, 01-07-2020,Monthly,13.61,13292968,37.8,Urban
Jammu & Kashmir, 01-08-2020,Monthly,15.76,12882838,35.91,Urban
Jammu & Kashmir, 01-09-2020,Monthly,10.83,13599163,40.96,Urban
Jammu & Kashmir, 01-10-2020,Monthly,12.37,13105112,40.22,Urban
Jharkhand, 01-01-2019,Monthly,3.52,11274767,44.05,Rural
Jharkhand, 01-02-2019,Monthly,2.32,11998274,43.33,Rural
Jharkhand, 01-03-2019,Monthly,2.9,11291576,46.57,Rural
Jharkhand, 01-04-2019,Monthly,3.96,11746314,45.21,Rural
Jharkhand, 01-05-2019,Monthly,2.45,11670698,43.77,Rural
Jharkhand, 01-06-2019,Monthly,3.61,11653766,42.8,Rural
Jharkhand, 01-07-2019,Monthly,3.39,11570351,39.62,Rural
Jharkhand, 01-08-2019,Monthly,3.3,11322180,42.45,Rural
Jharkhand, 01-09-2019,Monthly,2.32,11458699,44.5,Rural
Jharkhand, 01-10-2019,Monthly,2.0,11555391,44.64,Rural
Jharkhand, 01-11-2019,Monthly,3.94,11131334,43.25,Rural
Jharkhand, 01-12-2019,Monthly,2.98,11706036,43.32,Rural
Jharkhand, 01-01-2020,Monthly,3.54,10962248,41.9,Rural
Jharkhand, 01-02-2020,Monthly,3.03,11116991,42.01,Rural
Jharkhand, 01-03-2020,Monthly,2.51,11653613,40.93,Rural
Jharkhand, 01-04-2020,Monthly,32.04,9324417,37.02,Rural
Jharkhand, 01-05-2020,Monthly,30.69,9582401,39.27,Rural
Jharkhand, 01-06-2020,Monthly,15.52,10560860,44.66,Rural
Jharkhand, 01-07-2020,Monthly,8.55,11226239,43.53,Rural
Jharkhand, 01-08-2020,Monthly,5.84,11415678,45.07,Rural
Jharkhand, 01-09-2020,Monthly,6.11,11024464,43.73,Rural
Jharkhand, 01-10-2020,Monthly,4.44,11548659,42.31,Rural
Jharkhand, 01-01-2019,Monthly,4.81,11999703,40.66,Urban
Jharkhand, 01-02-2019,Monthly,5.35,12319781,43.87,Urban
Jharkhand, 01-03-2019,Monthly,4.86,12303419,41.95,Urban
Jharkhand, 01-04-2019,Monthly,4.51,12398550,42.41,Urban
Jharkhand, 01-05-2019,Monthly,5.0,11837403,45.0,Urban
Jharkhand, 01-06-2019,Monthly,4.8,11788871,46.04,Urban
Jharkhand, 01-07-2019,Monthly,4.38,12016029,44.6,Urban
Jharkhand, 01-08-2019,Monthly,5.51,11882498,44.39,Urban
Jharkhand, 01-09-2019,Monthly,5.08,12330003,44.56,Urban
Jharkhand, 01-10-2019,Monthly,4.6,11995470,44.43,Urban
Jharkhand, 01-11-2019,Monthly,4.18,11514684,44.95,Urban
Jharkhand, 01-12-2019,Monthly,5.37,11566247,42.78,Urban
Jharkhand, 01-01-2020,Monthly,5.19,12652913,44.33,Urban
Jharkhand, 01-02-2020,Monthly,4.39,12168983,46.36,Urban
Jharkhand, 01-03-2020,Monthly,4.44,12014793,43.57,Urban
Jharkhand, 01-04-2020,Monthly,30.6,9944378,40.49,Urban
Jharkhand, 01-05-2020,Monthly,32.82,9759046,41.4,Urban
Jharkhand, 01-06-2020,Monthly,17.09,11038664,42.44,Urban
Jharkhand, 01-07-2020,Monthly,10.85,11996452,43.52,Urban
Jharkhand, 01-08-2020,Monthly,8.4,11998269,45.68,Urban
Jharkhand, 01-09-2020,Monthly,7.46,12289434,43.96,Urban
Jharkhand, 01-10-2020,Monthly,6.81,12267782,45.06,Urban
Karnataka, 01-01-2019,Monthly,8.36,12878689,41.61,Rural
Karnataka, 01-02-2019,Monthly,8.21,12843547,43.58,Rural
Karnataka, 01-03-2019,Monthly,8.4,12455508,41.33,Rural
Karnataka, 01-04-2019,Monthly,8.64,12781451,42.8,Rural
Karnataka, 01-05-2019,Monthly,8.83,12718802,42.83,Rural
Karnataka, 01-06-2019,Monthly,8.49,13037508,44.58,Rural
Karnataka, 01-07-2019,Monthly,7.81,12734663,42.48,Rural
Karnataka, 01-08-2019,Monthly,8.36,13212820,42.77,Rural
Karnataka, 01-09-2019,Monthly,8.04,12933929,42.84,Rural
Karnataka, 01-10-2019,Monthly,8.7,13188026,42.96,Rural
Karnataka, 01-11-2019,Monthly,8.34,12258329,42.19,Rural
Karnataka, 01-12-2019,Monthly,9.3,12656270,39.07,Rural
Karnataka, 01-01-2020,Monthly,8.22,13020084,43.25,Rural
Karnataka, 01-02-2020,Monthly,8.02,12638607,41.82,Rural
Karnataka, 01-03-2020,Monthly,8.12,12256000,43.58,Rural
Karnataka, 01-04-2020,Monthly,33.59,10936779,38.14,Rural
Karnataka, 01-05-2020,Monthly,30.61,10992201,39.68,Rural
Karnataka, 01-06-2020,Monthly,18.65,11815746,41.15,Rural
Karnataka, 01-07-2020,Monthly,12.15,12580327,41.09,Rural
Karnataka, 01-08-2020,Monthly,15.2,12235065,44.41,Rural
Karnataka, 01-09-2020,Monthly,11.05,12208222,43.23,Rural
Karnataka, 01-10-2020,Monthly,11.91,12571143,41.62,Rural
Karnataka, 01-01-2019,Monthly,10.44,9342419,49.05,Urban
Karnataka, 01-02-2019,Monthly,10.45,9113669,48.66,Urban
Karnataka, 01-03-2019,Monthly,10.2,9525585,47.89,Urban
Karnataka, 01-04-2019,Monthly,10.63,9651330,46.74,Urban
Karnataka, 01-05-2019,Monthly,10.83,9455161,48.5,Urban
Karnataka, 01-06-2019,Monthly,10.89,9323008,49.02,Urban
Karnataka, 01-07-2019,Monthly,10.2,9697111,47.94,Urban
Karnataka, 01-08-2019,Monthly,11.62,9413747,46.87,Urban
Karnataka, 01-09-2019,Monthly,10.51,9466235,48.59,Urban
Karnataka, 01-10-2019,Monthly,9.55,9380484,45.79,Urban
Karnataka, 01-11-2019,Monthly,11.09,9813122,47.23,Urban
Karnataka, 01-12-2019,Monthly,10.42,9542803,49.13,Urban
Karnataka, 01-01-2020,Monthly,9.96,9602772,48.85,Urban
Karnataka, 01-02-2020,Monthly,10.82,9540977,48.89,Urban
Karnataka, 01-03-2020,Monthly,8.9,9752648,46.41,Urban
Karnataka, 01-04-2020,Monthly,36.03,8108606,43.74,Urban
Karnataka, 01-05-2020,Monthly,33.14,8357988,46.6,Urban
Karnataka, 01-06-2020,Monthly,20.86,8720647,45.95,Urban
Karnataka, 01-07-2020,Monthly,16.74,9111445,46.84,Urban
Karnataka, 01-08-2020,Monthly,17.57,9510008,46.54,Urban
Karnataka, 01-09-2020,Monthly,11.29,9226293,46.29,Urban
Karnataka, 01-10-2020,Monthly,11.92,9396457,44.08,Urban
Kerala, 01-01-2019,Monthly,7.16,10120896,40.44,Rural
Kerala, 01-02-2019,Monthly,7.7,10445203,39.88,Rural
Kerala, 01-03-2019,Monthly,7.98,10762579,41.31,Rural
Kerala, 01-04-2019,Monthly,7.59,10071265,40.45,Rural
Kerala, 01-05-2019,Monthly,7.16,10313040,40.9,Rural
Kerala, 01-06-2019,Monthly,6.4,10303333,42.36,Rural
Kerala, 01-07-2019,Monthly,7.46,10105424,38.68,Rural
Kerala, 01-08-2019,Monthly,6.58,10466601,40.47,Rural
Kerala, 01-09-2019,Monthly,8.16,10506140,42.13,Rural
Kerala, 01-10-2019,Monthly,7.37,10274336,39.82,Rural
Kerala, 01-11-2019,Monthly,7.27,10321341,39.5,Rural
Kerala, 01-12-2019,Monthly,6.37,10125852,40.29,Rural
Kerala, 01-01-2020,Monthly,8.61,10065212,41.51,Rural
Kerala, 01-02-2020,Monthly,7.59,10481148,42.48,Rural
Kerala, 01-03-2020,Monthly,8.4,9825359,41.06,Rural
Kerala, 01-04-2020,Monthly,36.26,8284206,37.07,Rural
Kerala, 01-05-2020,Monthly,36.27,8261311,33.92,Rural
Kerala, 01-06-2020,Monthly,19.2,9380018,39.1,Rural
Kerala, 01-07-2020,Monthly,10.13,10214355,41.49,Rural
Kerala, 01-08-2020,Monthly,15.7,9583720,42.32,Rural
Kerala, 01-09-2020,Monthly,10.15,9845634,39.89,Rural
Kerala, 01-10-2020,Monthly,11.95,10007518,40.63,Rural
Kerala, 01-01-2019,Monthly,10.17,7920413,52.79,Urban
Kerala, 01-02-2019,Monthly,8.7,8455801,52.52,Urban
Kerala, 01-03-2019,Monthly,9.04,8198808,49.17,Urban
Kerala, 01-04-2019,Monthly,9.57,8188404,52.0,Urban
Kerala, 01-05-2019,Monthly,10.48,8419815,49.99,Urban
Kerala, 01-06-2019,Monthly,9.57,7961588,49.62,Urban
Kerala, 01-07-2019,Monthly,10.27,8467061,48.98,Urban
Kerala, 01-08-2019,Monthly,9.34,8246686,51.25,Urban
Kerala, 01-09-2019,Monthly,9.21,8327913,50.12,Urban
Kerala, 01-10-2019,Monthly,9.69,8322805,50.84,Urban
Kerala, 01-11-2019,Monthly,9.43,8228055,50.7,Urban
Kerala, 01-12-2019,Monthly,9.47,8201373,53.23,Urban
Kerala, 01-01-2020,Monthly,10.03,8166204,51.88,Urban
Kerala, 01-02-2020,Monthly,9.49,8436304,51.39,Urban
Kerala, 01-03-2020,Monthly,9.63,8309523,48.48,Urban
Kerala, 01-04-2020,Monthly,32.14,7081134,45.59,Urban
Kerala, 01-05-2020,Monthly,33.2,7069615,44.66,Urban
Kerala, 01-06-2020,Monthly,19.44,7526313,48.02,Urban
Kerala, 01-07-2020,Monthly,16.34,8001859,48.05,Urban
Kerala, 01-08-2020,Monthly,15.06,7918452,53.55,Urban
Kerala, 01-09-2020,Monthly,12.56,8398649,48.66,Urban
Kerala, 01-10-2020,Monthly,12.18,8097272,49.65,Urban
Madhya Pradesh, 01-01-2019,Monthly,4.13,6568370,45.06,Rural
Madhya Pradesh, 01-02-2019,Monthly,4.14,6259143,46.91,Rural
Madhya Pradesh, 01-03-2019,Monthly,3.9,6204062,45.58,Rural
Madhya Pradesh, 01-04-2019,Monthly,4.21,6373362,47.17,Rural
Madhya Pradesh, 01-05-2019,Monthly,3.11,6276444,46.56,Rural
Madhya Pradesh, 01-06-2019,Monthly,3.54,6397741,41.97,Rural
Madhya Pradesh, 01-07-2019,Monthly,5.6,6252618,47.39,Rural
Madhya Pradesh, 01-08-2019,Monthly,3.77,6410757,47.84,Rural
Madhya Pradesh, 01-09-2019,Monthly,4.67,6296978,45.4,Rural
Madhya Pradesh, 01-10-2019,Monthly,4.58,6621863,45.89,Rural
Madhya Pradesh, 01-11-2019,Monthly,5.15,6273863,47.03,Rural
Madhya Pradesh, 01-12-2019,Monthly,4.63,6272492,44.48,Rural
Madhya Pradesh, 01-01-2020,Monthly,4.66,6256086,44.26,Rural
Madhya Pradesh, 01-02-2020,Monthly,3.56,6297956,46.89,Rural
Madhya Pradesh, 01-03-2020,Monthly,4.28,6428790,46.23,Rural
Madhya Pradesh, 01-04-2020,Monthly,30.15,5455086,42.68,Rural
Madhya Pradesh, 01-05-2020,Monthly,31.2,5309761,40.22,Rural
Madhya Pradesh, 01-06-2020,Monthly,15.22,5831367,43.7,Rural
Madhya Pradesh, 01-07-2020,Monthly,8.78,6145854,44.94,Rural
Madhya Pradesh, 01-08-2020,Monthly,8.84,6160473,43.7,Rural
Madhya Pradesh, 01-09-2020,Monthly,7.25,6232535,44.85,Rural
Madhya Pradesh, 01-10-2020,Monthly,5.43,6196337,43.91,Rural
Madhya Pradesh, 01-01-2019,Monthly,6.47,13616293,48.85,Urban
Madhya Pradesh, 01-02-2019,Monthly,4.77,13989900,47.39,Urban
Madhya Pradesh, 01-03-2019,Monthly,6.01,13784730,51.29,Urban
Madhya Pradesh, 01-04-2019,Monthly,5.19,12946655,49.52,Urban
Madhya Pradesh, 01-05-2019,Monthly,7.05,13957046,49.56,Urban
Madhya Pradesh, 01-06-2019,Monthly,5.68,13958667,47.79,Urban
Madhya Pradesh, 01-07-2019,Monthly,6.26,13825732,50.84,Urban
Madhya Pradesh, 01-08-2019,Monthly,7.63,13676967,48.49,Urban
Madhya Pradesh, 01-09-2019,Monthly,5.96,13227870,48.21,Urban
Madhya Pradesh, 01-10-2019,Monthly,5.73,13588761,49.48,Urban
Madhya Pradesh, 01-11-2019,Monthly,5.48,14062225,49.25,Urban
Madhya Pradesh, 01-12-2019,Monthly,5.97,13622302,49.48,Urban
Madhya Pradesh, 01-01-2020,Monthly,6.47,13432442,48.26,Urban
Madhya Pradesh, 01-02-2020,Monthly,5.79,13357796,48.02,Urban
Madhya Pradesh, 01-03-2020,Monthly,5.69,13976345,49.64,Urban
Madhya Pradesh, 01-04-2020,Monthly,27.6,11812945,47.16,Urban
Madhya Pradesh, 01-05-2020,Monthly,35.59,11053915,41.17,Urban
Madhya Pradesh, 01-06-2020,Monthly,18.96,12735730,46.06,Urban
Madhya Pradesh, 01-07-2020,Monthly,12.36,13218874,47.37,Urban
Madhya Pradesh, 01-08-2020,Monthly,12.69,13023262,48.42,Urban
Madhya Pradesh, 01-09-2020,Monthly,8.05,13696962,46.77,Urban
Madhya Pradesh, 01-10-2020,Monthly,6.22,13305924,46.88,Urban
Maharashtra, 01-01-2019,Monthly,4.53,12027391,38.14,Rural
Maharashtra, 01-02-2019,Monthly,4.08,12048629,41.89,Rural
Maharashtra, 01-03-2019,Monthly,3.63,12261333,40.19,Rural
Maharashtra, 01-04-2019,Monthly,4.75,11909045,38.11,Rural
Maharashtra, 01-05-2019,Monthly,4.56,12299203,40.35,Rural
Maharashtra, 01-06-2019,Monthly,2.97,12599904,37.59,Rural
Maharashtra, 01-07-2019,Monthly,3.91,12115576,37.42,Rural
Maharashtra, 01-08-2019,Monthly,2.94,11797170,38.91,Rural
Maharashtra, 01-09-2019,Monthly,2.88,11951243,38.41,Rural
Maharashtra, 01-10-2019,Monthly,2.21,12469713,35.12,Rural
Maharashtra, 01-11-2019,Monthly,3.74,12167333,39.54,Rural
Maharashtra, 01-12-2019,Monthly,3.77,12652919,39.06,Rural
Maharashtra, 01-01-2020,Monthly,4.42,11937750,38.91,Rural
Maharashtra, 01-02-2020,Monthly,4.72,12033410,39.02,Rural
Maharashtra, 01-03-2020,Monthly,4.38,11936414,35.49,Rural
Maharashtra, 01-04-2020,Monthly,24.52,10647535,35.72,Rural
Maharashtra, 01-05-2020,Monthly,31.9,10197910,31.17,Rural
Maharashtra, 01-06-2020,Monthly,13.65,11400363,34.7,Rural
Maharashtra, 01-07-2020,Monthly,10.11,11678727,38.53,Rural
Maharashtra, 01-08-2020,Monthly,7.2,11605636,37.3,Rural
Maharashtra, 01-09-2020,Monthly,5.58,11787383,39.08,Rural
Maharashtra, 01-10-2020,Monthly,6.08,12108808,40.23,Rural
Maharashtra, 01-01-2019,Monthly,5.3,10774140,43.08,Urban
Maharashtra, 01-02-2019,Monthly,6.07,11216837,43.32,Urban
Maharashtra, 01-03-2019,Monthly,5.6,11065424,42.18,Urban
Maharashtra, 01-04-2019,Monthly,7.04,10581396,43.71,Urban
Maharashtra, 01-05-2019,Monthly,7.01,10937122,43.15,Urban
Maharashtra, 01-06-2019,Monthly,5.58,10993678,45.49,Urban
Maharashtra, 01-07-2019,Monthly,4.46,11450413,41.3,Urban
Maharashtra, 01-08-2019,Monthly,5.63,10935065,44.32,Urban
Maharashtra, 01-09-2019,Monthly,4.83,11186930,46.47,Urban
Maharashtra, 01-10-2019,Monthly,4.97,11116835,42.44,Urban
Maharashtra, 01-11-2019,Monthly,6.05,11005506,42.47,Urban
Maharashtra, 01-12-2019,Monthly,6.08,11395658,43.15,Urban
Maharashtra, 01-01-2020,Monthly,6.22,10704976,42.0,Urban
Maharashtra, 01-02-2020,Monthly,6.07,11325869,43.97,Urban
Maharashtra, 01-03-2020,Monthly,5.6,11031505,41.56,Urban
Maharashtra, 01-04-2020,Monthly,25.98,9726580,41.53,Urban
Maharashtra, 01-05-2020,Monthly,21.96,9898232,44.12,Urban
Maharashtra, 01-06-2020,Monthly,14.59,10258168,39.74,Urban
Maharashtra, 01-07-2020,Monthly,13.0,10803236,44.42,Urban
Maharashtra, 01-08-2020,Monthly,13.02,10544622,43.18,Urban
Maharashtra, 01-09-2020,Monthly,7.45,11077494,40.17,Urban
Maharashtra, 01-10-2020,Monthly,9.3,10625623,42.09,Urban
Meghalaya, 01-01-2019,Monthly,2.88,5034504,51.18,Rural
Meghalaya, 01-02-2019,Monthly,3.69,4852358,53.83,Rural
Meghalaya, 01-03-2019,Monthly,4.13,5256023,49.65,Rural
Meghalaya, 01-04-2019,Monthly,4.38,5063140,50.42,Rural
Meghalaya, 01-05-2019,Monthly,4.65,4936732,50.31,Rural
Meghalaya, 01-06-2019,Monthly,1.72,5108529,48.87,Rural
Meghalaya, 01-07-2019,Monthly,3.47,4910351,50.31,Rural
Meghalaya, 01-08-2019,Monthly,4.07,4996026,51.92,Rural
Meghalaya, 01-09-2019,Monthly,4.56,4943037,50.14,Rural
Meghalaya, 01-10-2019,Monthly,4.38,5088845,51.97,Rural
Meghalaya, 01-11-2019,Monthly,3.23,5063085,51.02,Rural
Meghalaya, 01-12-2019,Monthly,4.43,4926595,48.36,Rural
Meghalaya, 01-01-2020,Monthly,4.21,4735028,49.76,Rural
Meghalaya, 01-02-2020,Monthly,3.19,4918508,49.73,Rural
Meghalaya, 01-03-2020,Monthly,4.53,5062395,50.48,Rural
Meghalaya, 01-04-2020,Monthly,24.02,4486476,46.45,Rural
Meghalaya, 01-05-2020,Monthly,30.78,4079634,48.96,Rural
Meghalaya, 01-06-2020,Monthly,16.06,4634495,47.65,Rural
Meghalaya, 01-07-2020,Monthly,10.64,4738554,50.73,Rural
Meghalaya, 01-08-2020,Monthly,7.08,4966257,48.12,Rural
Meghalaya, 01-09-2020,Monthly,6.27,5006326,50.62,Rural
Meghalaya, 01-10-2020,Monthly,5.75,5003083,50.2,Rural
Meghalaya, 01-01-2019,Monthly,5.61,11681532,49.93,Urban
Meghalaya, 01-02-2019,Monthly,6.1,11392001,50.22,Urban
Meghalaya, 01-03-2019,Monthly,6.3,11089328,48.75,Urban
Meghalaya, 01-04-2019,Monthly,5.14,11408808,50.75,Urban
Meghalaya, 01-05-2019,Monthly,6.08,11620508,49.58,Urban
Meghalaya, 01-06-2019,Monthly,6.2,10989780,49.0,Urban
Meghalaya, 01-07-2019,Monthly,6.22,11424737,49.14,Urban
Meghalaya, 01-08-2019,Monthly,5.76,10924176,49.05,Urban
Meghalaya, 01-09-2019,Monthly,6.33,11354919,50.34,Urban
Meghalaya, 01-10-2019,Monthly,5.83,11262681,48.59,Urban
Meghalaya, 01-11-2019,Monthly,6.22,11328406,50.32,Urban
Meghalaya, 01-12-2019,Monthly,5.48,10799258,51.23,Urban
Meghalaya, 01-01-2020,Monthly,5.51,11088598,50.63,Urban
Meghalaya, 01-02-2020,Monthly,5.57,11518764,50.51,Urban
Meghalaya, 01-03-2020,Monthly,6.21,10927549,51.4,Urban
Meghalaya, 01-04-2020,Monthly,34.55,9263266,44.34,Urban
Meghalaya, 01-05-2020,Monthly,24.5,9684812,44.4,Urban
Meghalaya, 01-06-2020,Monthly,20.33,10105496,47.28,Urban
Meghalaya, 01-07-2020,Monthly,12.4,10432432,46.87,Urban
Meghalaya, 01-08-2020,Monthly,9.82,11100240,48.86,Urban
Meghalaya, 01-09-2020,Monthly,9.4,11330430,48.61,Urban
Meghalaya, 01-10-2020,Monthly,8.26,11025864,48.31,Urban
Odisha, 01-01-2019,Monthly,3.73,8569672,44.14,Rural
Odisha, 01-02-2019,Monthly,4.16,8424183,44.42,Rural
Odisha, 01-03-2019,Monthly,3.86,8265425,40.63,Rural
Odisha, 01-04-2019,Monthly,4.13,8237139,41.68,Rural
Odisha, 01-05-2019,Monthly,5.09,8266460,42.0,Rural
Odisha, 01-06-2019,Monthly,4.76,8487908,42.15,Rural
Odisha, 01-07-2019,Monthly,4.64,8370045,44.12,Rural
Odisha, 01-08-2019,Monthly,5.27,8676943,43.39,Rural
Odisha, 01-09-2019,Monthly,3.58,8722805,42.85,Rural
Odisha, 01-10-2019,Monthly,3.6,8526169,42.28,Rural
Odisha, 01-11-2019,Monthly,5.52,8584776,40.57,Rural
Odisha, 01-12-2019,Monthly,5.54,8468552,41.48,Rural
Odisha, 01-01-2020,Monthly,4.33,8248056,41.7,Rural
Odisha, 01-02-2020,Monthly,4.82,8433380,42.5,Rural
Odisha, 01-03-2020,Monthly,4.01,8517721,42.34,Rural
Odisha, 01-04-2020,Monthly,26.15,7314551,36.23,Rural
Odisha, 01-05-2020,Monthly,30.39,7144088,40.34,Rural
Odisha, 01-06-2020,Monthly,15.24,7872129,40.77,Rural
Odisha, 01-07-2020,Monthly,8.74,8387586,40.22,Rural
Odisha, 01-08-2020,Monthly,8.24,8308271,40.16,Rural
Odisha, 01-09-2020,Monthly,8.69,8461161,42.0,Rural
Odisha, 01-10-2020,Monthly,8.27,8330773,42.46,Rural
Odisha, 01-01-2019,Monthly,7.05,10511917,39.66,Urban
Odisha, 01-02-2019,Monthly,6.55,10502497,40.49,Urban
Odisha, 01-03-2019,Monthly,7.17,10808651,39.62,Urban
Odisha, 01-04-2019,Monthly,5.7,10479282,41.89,Urban
Odisha, 01-05-2019,Monthly,6.39,10672780,38.8,Urban
Odisha, 01-06-2019,Monthly,6.94,10210233,43.38,Urban
Odisha, 01-07-2019,Monthly,7.72,10127312,39.98,Urban
Odisha, 01-08-2019,Monthly,7.04,10249025,40.74,Urban
Odisha, 01-09-2019,Monthly,6.54,9963577,40.78,Urban
Odisha, 01-10-2019,Monthly,6.11,10286688,42.97,Urban
Odisha, 01-11-2019,Monthly,5.77,10580484,40.39,Urban
Odisha, 01-12-2019,Monthly,6.36,10537208,41.31,Urban
Odisha, 01-01-2020,Monthly,6.87,10540443,40.31,Urban
Odisha, 01-02-2020,Monthly,6.16,10160731,39.57,Urban
Odisha, 01-03-2020,Monthly,8.29,10502981,38.78,Urban
Odisha, 01-04-2020,Monthly,33.16,8523463,38.2,Urban
Odisha, 01-05-2020,Monthly,35.16,8565493,36.63,Urban
Odisha, 01-06-2020,Monthly,20.72,9644819,35.26,Urban
Odisha, 01-07-2020,Monthly,12.26,9928548,41.36,Urban
Odisha, 01-08-2020,Monthly,14.11,9794784,42.1,Urban
Odisha, 01-09-2020,Monthly,9.64,9972500,41.21,Urban
Odisha, 01-10-2020,Monthly,7.66,10311830,43.17,Urban
Puducherry, 01-01-2019,Monthly,5.68,4791841,39.09,Rural
Puducherry, 01-02-2019,Monthly,5.68,4761628,37.97,Rural
Puducherry, 01-03-2019,Monthly,5.0,4828830,40.04,Rural
Puducherry, 01-04-2019,Monthly,5.49,4686863,39.21,Rural
Puducherry, 01-05-2019,Monthly,5.92,4786716,37.12,Rural
Puducherry, 01-06-2019,Monthly,6.7,4848156,36.76,Rural
Puducherry, 01-07-2019,Monthly,6.5,4827015,40.26,Rural
Puducherry, 01-08-2019,Monthly,5.07,4866293,39.9,Rural
Puducherry, 01-09-2019,Monthly,6.18,4946997,40.64,Rural
Puducherry, 01-10-2019,Monthly,5.3,4730737,39.07,Rural
Puducherry, 01-11-2019,Monthly,6.11,4662408,39.55,Rural
Puducherry, 01-12-2019,Monthly,5.08,4756627,40.52,Rural
Puducherry, 01-01-2020,Monthly,4.24,4818912,40.19,Rural
Puducherry, 01-02-2020,Monthly,5.39,4953154,41.7,Rural
Puducherry, 01-03-2020,Monthly,5.19,4845795,42.13,Rural
Puducherry, 01-04-2020,Monthly,33.25,3933596,38.0,Rural
Puducherry, 01-05-2020,Monthly,25.71,4279286,37.76,Rural
Puducherry, 01-06-2020,Monthly,20.73,4238327,37.9,Rural
Puducherry, 01-07-2020,Monthly,10.62,4692235,40.26,Rural
Puducherry, 01-08-2020,Monthly,9.21,4590938,40.08,Rural
Puducherry, 01-09-2020,Monthly,7.8,4815183,38.32,Rural
Puducherry, 01-10-2020,Monthly,7.49,4639460,39.67,Rural
Puducherry, 01-01-2019,Monthly,8.39,8868884,44.15,Urban
Puducherry, 01-02-2019,Monthly,7.17,8679959,43.16,Urban
Puducherry, 01-03-2019,Monthly,8.21,8773882,42.07,Urban
Puducherry, 01-04-2019,Monthly,7.9,8754432,45.36,Urban
Puducherry, 01-05-2019,Monthly,8.27,8791265,43.3,Urban
Puducherry, 01-06-2019,Monthly,8.69,8702279,41.88,Urban
Puducherry, 01-07-2019,Monthly,8.69,8752256,42.51,Urban
